modelo,notacao_kendall,periodo,lambda_hora,c,tempo_medio_servico_seg,mu_estimado_hora,rho_medio,Wq_media_seg,Wq_desvio_padrao_seg,W_media_seg,W_desvio_padrao_seg,Lq_media,L_media,utilizacao_media,P95_W_medio_seg,throughput_medio_hora,taxa_fila_media,quantidade_replicas,status_predominante,fator_degradacao_medio,erro_little_L_medio,erro_little_Lq_medio
M/D/c,M/D/c/∞/∞/FIFO,fora_pico,120,10,12.4717,288.6535115501495,0.041572333333333336,0.0,0.0,12.47169999999921,2.7543507625954778e-14,0.0,0.41572333333330697,0.041390944351936035,12.471700000000055,119.42666666666668,0.0,30,ESTAVEL,0.9838236024652584,3.4785412514337892,
M/D/c,M/D/c/∞/∞/FIFO,fora_pico,120,15,12.4717,288.6535115501495,0.027714888888888883,0.0,0.0,12.471699999999215,3.4260124269794216e-14,0.0,0.41572333333330724,0.02763064989442444,12.471700000000055,119.56444444444443,0.0,30,ESTAVEL,0.9838236024652587,3.1369350266555056,
M/D/c,M/D/c/∞/∞/FIFO,fora_pico,180,1,12.4717,288.6535115501495,0.6235849999999998,10.115153523773849,1.4741982006428271,22.58685352377307,1.4741982006428238,0.5057576761886924,1.1293426761886531,0.6219084818146506,50.472282600588564,179.3733333333333,0.615931624516566,30,ESTAVEL,1.7817522552751377,2.4397639832883087,2.50807349991011
M/D/c,M/D/c/∞/∞/FIFO,fora_pico,180,2,12.4717,288.6535115501495,0.3117924999999999,0.7966274324856405,0.10175856759109803,13.268327432484856,0.10175856759109919,0.03983137162428201,0.6634163716242429,0.3144806608418308,18.997142245494402,181.47111111111113,0.14780990171135733,30,ESTAVEL,1.0466651453544173,2.2845901476180717,2.2629757381016224
M/D/c,M/D/c/∞/∞/FIFO,fora_pico,180,3,12.4717,288.6535115501495,0.20786166666666675,0.08419924264914903,0.025145447259197557,12.555899242648367,0.025145447259195992,0.0042099621324574515,0.6277949621324183,0.2069704379480099,12.471700000000055,179.14666666666665,0.024478550408338066,30,ESTAVEL,0.9904656161625042,2.575002797281304,2.633066909761141
M/D/c,M/D/c/∞/∞/FIFO,fora_pico,180,4,12.4717,288.6535115501495,0.15589624999999996,0.011642184404793308,0.008363356824115875,12.483342184404007,0.008363356824117785,0.0005821092202396654,0.6241671092202006,0.15587861093482153,12.471700000000055,179.9111111111111,0.004333025295517395,30,ESTAVEL,0.9847419901591327,1.849150383579526,1.8469135802469159
M/D/c,M/D/c/∞/∞/FIFO,fora_pico,180,5,12.4717,288.6535115501495,0.124717,0.0019660352496078714,0.0032399075732964613,12.473666035248831,0.0032399075732984554,9.830176248039357e-05,0.6236833017624416,0.1244795886326561,12.471700000000055,179.57777777777775,0.0006338474942123012,30,ESTAVEL,0.9839786921388274,2.2264593234490317,2.1216931216931174
M/D/c,M/D/c/∞/∞/FIFO,fora_pico,180,8,12.4717,288.6535115501495,0.07794812499999998,0.0,0.0,12.471699999999224,2.6528441870398267e-14,0.0,0.6235849999999611,0.07848262739341462,12.471700000000055,181.14666666666668,0.0,30,ESTAVEL,0.9838236024652592,2.512771078814759,
M/D/c,M/D/c/∞/∞/FIFO,fora_pico,180,10,12.4717,288.6535115501495,0.0623585,0.0,0.0,12.471699999999228,2.276727285477956e-14,0.0,0.6235849999999614,0.06260978178541163,12.471700000000055,180.63555555555556,0.0,30,ESTAVEL,0.9838236024652596,2.1973891302462225,
M/D/c,M/D/c/∞/∞/FIFO,fora_pico,180,15,12.4717,288.6535115501495,0.041572333333333336,0.0,0.0,12.471699999999224,2.8247880977773408e-14,0.0,0.6235849999999614,0.04169664078897837,12.471700000000055,180.43999999999997,0.0,30,ESTAVEL,0.9838236024652594,2.0513819064222285,
